Category,Name,Url
Flyweight,Jaime Alvarez,/fighter/jamie-Alvarez
Flyweight,Adam Antolin,/fighter/adam-Antolin
Flyweight,Marco Beltran,/fighter/marco-beltran
Flyweight,Joseph Benavidez,/fighter/joseph-Benavidez
Flyweight,Ryan Benoit,/fighter/ryan-Benoit
Flyweight,Magomed Bibulatov,/fighter/magomed-Bibulatov
Flyweight,Ray Borg,/fighter/ray-Borg
Flyweight,Jarred Brooks,/fighter/jarred-brooks
Flyweight,JP Buys,/fighter/JP-Buys
Flyweight,Carlos Candelario,/fighter/carlos-Candelario
Flyweight,Ronaldo Candido,/fighter/ronaldo-Candido
Flyweight,Henry Cejudo,/fighter/henry-Cejudo
Flyweight,Martin Day,/fighter/martin-Day
Flyweight,Carls John De Tomas,/fighter/carls-John-de-Tomas
Flyweight,Tim Elliott,/fighter/tim-Elliott
Flyweight,Jordan Espinosa,/fighter/jordan-Espinosa
Flyweight,Deiveson Figueiredo,/fighter/deiveson-Alcantara
Flyweight,Jussier Formiga,/fighter/jussier-formiga
Flyweight,Kevin  Gray,/fighter/kevin-Gray
Flyweight,CJ Hamilton,/fighter/CJ-Hamilton
Flyweight,Naoki Inoue,/fighter/naoki-Inoue
Flyweight,Demetrious Johnson,/fighter/demetrious-Johnson
Flyweight,Casey  Kenney,/fighter/casey-Kenney
Flyweight,Jenel Lausa,/fighter/jenel-lausa
Flyweight,Ian McCall,/fighter/ian-McCall
Flyweight,Ashkan Mokhtarian,/fighter/ashkan-Mokhtarian
Flyweight,John Moraga,/fighter/john-Moraga
Flyweight,Joseph Morales,/fighter/joseph-Morales
Flyweight,Brandon Moreno,/fighter/brandon-moreno
Flyweight,Ben Nguyen,/fighter/ben-nguyen
Flyweight,Matheus Nicolau,/fighter/matheus-nicolau
Flyweight,Dustin Ortiz,/fighter/dustin-Ortiz
Flyweight,Alexandre Pantoja,/fighter/alexandre-Pantoja
Flyweight,Alex Perez,/fighter/alex-Perez
Flyweight,Sergio Pettis,/fighter/sergio-Pettis
Flyweight,Wilson Reis,/fighter/wilson-Reis
Flyweight,Joby Sanchez,/fighter/joby-Sanchez
Flyweight,Roberto Sanchez,/fighter/roberto-sanchez
Flyweight,Hector Sandoval,/fighter/hector-sandoval
Flyweight,Ulka Sasaki,/fighter/yuta-Sasaki
Flyweight,Matt Schnell,/fighter/matt-schnell
Flyweight,Neil Seery,/fighter/neil-Seery
Flyweight,Eric Shelton,/fighter/eric-shelton
Flyweight,Louis Smolka,/fighter/louis-Smolka
Flyweight,Nick Urso,/fighter/nick-Urso
Flyweight,Manny Vazquez,/fighter/manny-Vazquez
Bantamweight,Iuri Alcantara,/fighter/iuri-Alcantara
Bantamweight,Thomas Almeida,/fighter/thomas-almeida
Bantamweight,Raphael Assuncao,/fighter/raphael-Assuncao
Bantamweight,Raoni Barcelos,/fighter/raoni-Barcelos
Bantamweight,Henry Briones,/fighter/henry-briones
Bantamweight,Guido Cannetti,/fighter/guido-cannetti
Bantamweight,Bryan Caraway,/fighter/bryan-Caraway
Bantamweight,John Castaneda,/fighter/john-Castaneda
Bantamweight,Dominick Cruz,/fighter/dominick-Cruz
Bantamweight,TJ Dillashaw,/fighter/TJ-Dillashaw
Bantamweight,John Dodson,/fighter/john-Dodson
Bantamweight,Tom Duquesnoy,/fighter/tom-Duquesnoy
Bantamweight,Merab Dvalishvili,/fighter/merab-Dvalishvili
Bantamweight,Johnny Eduardo,/fighter/johnny-Eduardo
Bantamweight,Rob Font,/fighter/rob-Font
Bantamweight,Donavon Frelow,/fighter/donavon-Frelow
Bantamweight,Mitch Gagnon,/fighter/mitch-Gagnon
Bantamweight,Cody Garbrandt,/fighter/cody-garbrandt
Bantamweight,Davey Grant,/fighter/david-Grant
Bantamweight,James Gray,/fighter/james-Gray
Bantamweight,Chris  Holdsworth,/fighter/chris-Holdsworth
Bantamweight,Brett Johns,/fighter/brett-johns
Bantamweight,Bharat Kandare,/fighter/bharat-Kandare
Bantamweight,Kyung Ho Kang,/fighter/kyung-Ho-Kang
Bantamweight,Brian Kelleher,/fighter/brian-Kelleher
Bantamweight,Alfred  Khashakyan,/fighter/alfred-Khashakyan
Bantamweight,Kwan Ho Kwak,/fighter/kwan-ho-kwak
Bantamweight,Cheyden  Leialoha,/fighter/cheyden-Leialoha
Bantamweight,John Lineker,/fighter/john-Lineker
Bantamweight,Pingyuan Liu,/fighter/pingyuan-Liu
Bantamweight,Benito Lopez,/fighter/benito-Lopez
Bantamweight,Matthew Lopez,/fighter/matthew-lopez
Bantamweight,Augusto Mendes,/fighter/augusto-Mendes
Bantamweight,Marlon Moraes,/fighter/marlon-moraes
Bantamweight,Albert Morales,/fighter/albert-Morales
Bantamweight,Pedro Munhoz,/fighter/pedro-Munhoz
Bantamweight,Sean O'Malley,/fighter/sean-O-Malley
Bantamweight,Alejandro Perez,/fighter/alejandro-perez
Bantamweight,Steven Peterson,/fighter/steven-Peterson
Bantamweight,Kyler  Phillips,/fighter/kyler-Phillips
Bantamweight,Jose Quinonez,/fighter/jose-quinonez
Bantamweight,Ricardo Ramos,/fighter/ricardo-ramos
Bantamweight,Jimmie Rivera,/fighter/jimmie-rivera
Bantamweight,Frankie Saenz,/fighter/frankie-Saenz
Bantamweight,Boston Salmon,/fighter/boston-Salmon
Bantamweight,Justin Scoggins,/fighter/justin-Scoggins
Bantamweight,Douglas Silva de A...,/fighter/douglas-Silva-de-Andrade
Bantamweight,Ricky Simon,/fighter/ricky-Simon
Bantamweight,Joe Soto,/fighter/joe-soto
Bantamweight,Andre Soukhamthath,/fighter/andre-Soukhamthath
Bantamweight,Cody Stamann,/fighter/cody-Stamann
Bantamweight,Damian Stasiak,/fighter/damian-stasiak
Bantamweight,Aljamain Sterling,/fighter/aljamain-Sterling
Bantamweight,Ricky Turcios,/fighter/ricky-Turcios
Bantamweight,Marlon Vera,/fighter/marlon-vera
Bantamweight,Patrick Williams,/fighter/patrick-Williams
Bantamweight,Eddie Wineland,/fighter/eddie-Wineland
Bantamweight,Rani Yahya,/fighter/rani-Yahya
Bantamweight,Norifumi Yamamoto,/fighter/norifumi-Yamamoto
Bantamweight,Aiemann Zahabi,/fighter/aiemann-zahabi
Featherweight,Jose Aldo,/fighter/jose-Aldo
Featherweight,Arnold Allen,/fighter/arnold-allen
