Category,Name,Url,Image
Flyweight,Jaime Alvarez,/fighter/jamie-Alvarez,//media.ufc.tv/fighter_images/Jamie_Alvarez/ALVAREZ_JAMIE.png
Flyweight,Adam Antolin,/fighter/adam-Antolin,//media.ufc.tv/fighter_images/Adam_Antolin/ANTOLIN_ADAM.png
Flyweight,Marco Beltran,/fighter/marco-beltran,//media.ufc.tv/fighter_images/Marco_Beltran/BELTRAN_MARCO.png
Flyweight,Joseph Benavidez,/fighter/joseph-Benavidez,//media.ufc.tv/fighter_images/Joseph_Benavidez/BENAVIDEZ_JOSEPH.png
Flyweight,Ryan Benoit,/fighter/ryan-Benoit,//media.ufc.tv/fighter_images/Ryan_Benoit/BENOIT_RYAN.png
Flyweight,Magomed Bibulatov,/fighter/magomed-Bibulatov,//media.ufc.tv/fighter_images/Magomedov_Bibulatov/BIBULATVO_MAGOMED.png
Flyweight,Ray Borg,/fighter/ray-Borg,//media.ufc.tv/fighter_images/Ray_Borg/BORG_RAY.png
Flyweight,Jarred Brooks,/fighter/jarred-brooks,//media.ufc.tv/fighter_images/Jarred_Brooks/BROOKS_JARRED.png
Flyweight,JP Buys,/fighter/JP-Buys,//media.ufc.tv/fighter_images/JP_Buys/BUYS_JP.png
Flyweight,Carlos Candelario,/fighter/carlos-Candelario,//media.ufc.tv/fighter_images/Carlos_Candelario/CANDELARIO_CARLOS.png
Flyweight,Ronaldo Candido,/fighter/ronaldo-Candido,//media.ufc.tv/fighter_images/Ronaldo_Candido/CANDIDO_RONALDO.png
Flyweight,Henry Cejudo,/fighter/henry-Cejudo,//media.ufc.tv/fighter_images/Henry_Cejudo/CEJUDO_HENRY.png
Flyweight,Martin Day,/fighter/martin-Day,//media.ufc.tv/fighter_images/Martin_Day/DAY_MARTIN.png
Flyweight,Carls John De Tomas,/fighter/carls-John-de-Tomas,//media.ufc.tv/fighter_images/Carls_John_De_Tomas/DE_TOMAS_CARLS-JOHN_singapore.png
Flyweight,Tim Elliott,/fighter/tim-Elliott,//media.ufc.tv/fighter_images/Tim_Elliott/ELLIOTT_TIM.png
Flyweight,Jordan Espinosa,/fighter/jordan-Espinosa,//media.ufc.tv/fighter_images/Jordan_Espinoza/ESPINOSA_JORDAN.png
Flyweight,Deiveson Figueiredo,/fighter/deiveson-Alcantara,//media.ufc.tv/fighter_images/Deiveson_Figueiredo/FIGUEIREDO_DEIVESON.png
Flyweight,Jussier Formiga,/fighter/jussier-formiga,//media.ufc.tv/fighter_images//Jussier_Formiga/1FORMIGA_JUSSIER.png
Flyweight,Kevin  Gray,/fighter/kevin-Gray,//media.ufc.tv/fighter_images/Kevin_Gray/GRAY_KEVIN.png
Flyweight,CJ Hamilton,/fighter/CJ-Hamilton,//media.ufc.tv/fighter_images/CJ_Hamilton/HAMILTON_CJ.png
Flyweight,Naoki Inoue,/fighter/naoki-Inoue,//media.ufc.tv/fighter_images/Naoki_Inoue/INOUE_NAOKI_singapore.png
Flyweight,Demetrious Johnson,/fighter/demetrious-Johnson,//media.ufc.tv/fighter_images/Demitrious_Johnson/JOHNSON_DEMETRIOUS_BELT_LS.png
Flyweight,Casey  Kenney,/fighter/casey-Kenney,//media.ufc.tv/fighter_images/Casey_Kenney/KENNEY_CASEY.png
Flyweight,Jenel Lausa,/fighter/jenel-lausa,//media.ufc.tv/fighter_images/Jenel_Lausa/LAUSA_JENEL.png
Flyweight,Ian McCall,/fighter/ian-McCall,//media.ufc.tv/fighter_images/Ian_McCall/MCCALL_IAN.png
Flyweight,Ashkan Mokhtarian,/fighter/ashkan-Mokhtarian,//media.ufc.tv/fighter_images/Ashkan_Mokhtarian/MOKHTARIAN_ASHKAN.png
Flyweight,John Moraga,/fighter/john-Moraga,//media.ufc.tv/fighter_images/John_Moraga/MORAGA_JOHN.png
